yearQuarter,state,totalRX,stateFull,i.state,enrolleesPerQtr,ratePer1k
2014,KY,1693,Kentucky,Kentucky,1002721.66666667,1.68840472513974
2014.25,KY,890,Kentucky,Kentucky,1099504.66666667,0.809455409314619
2014.5,KY,744,Kentucky,Kentucky,1140760.66666667,0.652196399946001
2014.75,KY,648,Kentucky,Kentucky,1212113.33333333,0.534603474922587
2015,KY,633,Kentucky,Kentucky,1259748.66666667,0.502481182754444
2015.25,KY,496,Kentucky,Kentucky,1269056.66666667,0.390841491186367
2015.5,KY,827,Kentucky,Kentucky,1262296,0.655155367679213
2015.75,KY,114,Kentucky,Kentucky,1269899,0.0897709187896045
2016,KY,821,Kentucky,Kentucky,1279065.33333333,0.641874952439229
2016.25,KY,1305,Kentucky,Kentucky,1310312,0.995946003699882
2016.5,KY,2576,Kentucky,Kentucky,1308614,1.96849491141009
2016.75,KY,3592,Kentucky,Kentucky,1316557,2.72832851141272
2017,KY,4366,Kentucky,Kentucky,1329612.33333333,3.28366388498703
2017.25,KY,4145,Kentucky,Kentucky,1338202,3.09743969893932
2017.5,KY,5508,Kentucky,Kentucky,1345714,4.0929944995742
2017.75,KY,6356,Kentucky,Kentucky,1349775.66666667,4.70893064452439
2018,KY,7677,Kentucky,Kentucky,1355666,5.66289926869893
2018.25,KY,7562,Kentucky,Kentucky,1332720.66666667,5.67410725228242
2018.5,KY,8264,Kentucky,Kentucky,1317721.33333333,6.27143219962542
2018.75,KY,7548,Kentucky,Kentucky,1296805,5.82045874283335
2019,KY,7915,Kentucky,Kentucky,1293211,6.12042427724478
2019.25,KY,7377,Kentucky,Kentucky,1289673,5.72005461849632
2019.5,KY,7474,Kentucky,Kentucky,1286813.66666667,5.80814471714501
2019.75,KY,6834,Kentucky,Kentucky,1268487.66666667,5.387517892041
2020,KY,7099,Kentucky,Kentucky,1263875,5.61685293244981
2020.25,KY,5798,Kentucky,Kentucky,1374054.33333333,4.21962935478291
2020.5,KY,6551,Kentucky,Kentucky,1498066.33333333,4.37297057829437
2020.75,KY,6122,Kentucky,Kentucky,1514151.33333333,4.04318898991602
